Statistic Label,Year,Type of Land Use,Region,VALUE
Median Price per Hectare,2023,All Land Types,Midland,23397
Median Price per Hectare,2023,All Land Types,West,16667
Median Price per Hectare,2023,All Land Types,Dublin,37185
Median Price per Hectare,2023,All Land Types,Mid-East,35578
Median Price per Hectare,2023,All Land Types,South-East,32710
Median Price per Hectare,2023,All Land Types,South-West,24268
Median Price per Hectare,2023,Arable Land,Border,33997
Median Price per Hectare,2023,Arable Land,Midland,23621
Median Price per Hectare,2023,Arable Land,Dublin,37333
Median Price per Hectare,2023,Arable Land,Mid-East,44395
Median Price per Hectare,2023,Arable Land,South-East,38393
Median Price per Hectare,2023,Permanent Grassland,Border,17021
Median Price per Hectare,2023,Permanent Grassland,Midland,23184
Median Price per Hectare,2023,Permanent Grassland,West,16667
Median Price per Hectare,2023,Permanent Grassland,Dublin,31532
Median Price per Hectare,2023,Permanent Grassland,Mid-East,34144
Median Price per Hectare,2023,Permanent Grassland,South-East,31716
